raDATE,T10YCM,USREC,3MTYSMR,3MBER,SPREAD,FFR
1954-07,2.3,0,0.72,0.731331022,1.568668978,0.8
1954-08,2.36,0,0.92,0.934952061,1.425047939,1.22
1954-09,2.38,0,1.01,1.026648869,1.353351131,1.06
1954-10,2.43,0,0.98,0.996078619,1.433921381,0.85
1954-11,2.48,0,0.93,0.94513853,1.53486147,0.83
1954-12,2.51,0,1.15,1.16937152,1.34062848,1.28
1955-01,2.61,0,1.22,1.240770844,1.369229156,1.39
1955-02,2.65,0,1.17,1.189768741,1.460231259,1.29
1955-03,2.68,0,1.28,1.30199044,1.37800956,1.35
1955-04,2.75,0,1.59,1.618588711,1.131411289,1.43
1955-05,2.76,0,1.45,1.475547179,1.284452821,1.43
1955-06,2.78,0,1.41,1.434696832,1.345303168,1.64
1955-07,2.9,0,1.6,1.628809853,1.271190147,1.68
1955-08,2.97,0,1.9,1.935685556,1.034314444,1.96
1955-09,2.97,0,2.07,2.109789473,0.860210527,2.18
1955-10,2.88,0,2.23,2.273789447,0.606210553,2.24
1955-11,2.89,0,2.24,2.284043875,0.605956125,2.35
1955-12,2.96,0,2.54,2.59191934,0.36808066,2.48
1956-01,2.9,0,2.41,2.458448957,0.441551043,2.45
1956-02,2.84,0,2.32,2.366098073,0.473901927,2.5
1956-03,2.96,0,2.25,2.294298825,0.665701175,2.5
1956-04,3.18,0,2.6,2.653550837,0.526449163,2.62
1956-05,3.07,0,2.61,2.663824583,0.406175417,2.75
1956-06,3,0,2.49,2.54057413,0.45942587,2.71
1956-07,3.11,0,2.31,2.355839473,0.754160527,2.75
1956-08,3.33,0,2.6,2.653550837,0.676449163,2.73
1956-09,3.38,0,2.84,2.900265126,0.479734874,2.95
1956-10,3.34,0,2.9,2.961990816,0.378009184,2.96
1956-11,3.49,0,2.99,3.054614726,0.435385274,2.88
1956-12,3.59,0,3.21,3.281207599,0.308792401,2.94
1957-01,3.46,0,3.11,3.178179348,0.281820652,2.84
1957-02,3.34,0,3.1,3.167879411,0.172120589,3
1957-03,3.41,0,3.08,3.14728111,0.26271889,2.96
1957-04,3.48,0,3.07,3.136982746,0.343017254,3
1957-05,3.6,0,3.06,3.126684908,0.473315092,3
1957-06,3.8,0,3.29,3.363668016,0.436331984,3
1957-07,3.93,0,3.16,3.22968691,0.70031309,2.99
1957-08,3.93,0,3.37,3.44616207,0.48383793,3.24
1957-09,3.92,1,3.53,3.611251173,0.308748827,3.47
1957-10,3.97,1,3.58,3.662869153,0.307130847,3.5
1957-11,3.72,1,3.31,3.384288375,0.335711625,3.28
1957-12,3.21,1,3.04,3.106090804,0.103909196,2.98
1958-01,3.09,1,2.44,2.48924198,0.60075802,2.72
1958-02,3.05,1,1.53,1.557272752,1.492727248,1.67
1958-03,2.98,1,1.3,1.322401113,1.657598887,1.2
1958-04,2.88,1,1.13,1.148976368,1.731023632,1.26
1958-05,2.92,0,0.91,0.924766108,1.995233892,0.63
1958-06,2.97,0,0.83,0.843297062,2.126702938,0.93
1958-07,3.2,0,0.91,0.924766108,2.275233892,0.68
1958-08,3.54,0,1.69,1.720823485,1.819176515,1.53
1958-09,3.76,0,2.44,2.48924198,1.27075802,1.76
1958-10,3.8,0,2.63,2.684373643,1.115626357,1.8
1958-11,3.74,0,2.67,2.725478039,1.014521961,2.27
1958-12,3.86,0,2.77,2.828275651,1.031724349,2.42
1959-01,4.02,0,2.82,2.879694086,1.140305914,2.48
1959-02,3.96,0,2.7,2.756311828,1.203688172,2.43
1959-03,3.99,0,2.8,2.859125141,1.130874859,2.8
1959-04,4.12,0,2.95,3.013443302,1.106556698,2.96
1959-05,4.31,0,2.84,2.900265126,1.409734874,2.9
1959-06,4.34,0,3.21,3.281207599,1.058792401,3.39
1959-07,4.4,0,3.2,3.270902411,1.129097589,3.47
1959-08,4.43,0,3.38,3.456476193,0.973523807,3.5
1959-09,4.68,0,4.04,4.138373097,0.541626903,3.76
1959-10,4.53,0,4.05,4.148722547,0.381277453,3.98
1959-11,4.53,0,4.15,4.252246132,0.277753868,4
1959-12,4.69,0,4.49,4.604622295,0.085377705,3.99
1960-01,4.72,0,4.35,4.459452058,0.260547942,3.99
1960-02,4.49,0,3.96,4.055596521,0.434403479,3.97
1960-03,4.25,0,3.31,3.384288375,0.865711625,3.84
1960-04,4.28,0,3.23,3.301819551,0.978180449,3.92
1960-05,4.35,1,3.29,3.363668016,0.986331984,3.85
1960-06,4.15,1,2.46,2.509773273,1.640226727,3.32
1960-07,3.9,1,2.3,2.345581394,1.554418606,3.23
1960-08,3.8,1,2.3,2.345581394,1.454418606,2.98
1960-09,3.8,1,2.48,2.530306656,1.269693344,2.6
1960-10,3.89,1,2.3,2.345581394,1.544418606,2.47
1960-11,3.93,1,2.37,2.417398901,1.512601099,2.44
1960-12,3.84,1,2.25,2.294298825,1.545701175,1.98
1961-01,3.84,1,2.24,2.284043875,1.555956125,1.45
1961-02,3.78,1,2.42,2.468712776,1.311287224,2.54
1961-03,3.74,0,2.39,2.437922885,1.302077115,2.02
1961-04,3.78,0,2.29,2.335323837,1.444676163,1.49
1961-05,3.71,0,2.29,2.335323837,1.374676163,1.98
1961-06,3.88,0,2.33,2.376357195,1.503642805,1.73
1961-07,3.92,0,2.24,2.284043875,1.635956125,1.17
1961-08,4.04,0,2.39,2.437922885,1.602077115,2
1961-09,3.98,0,2.28,2.325066802,1.654933198,1.88
1961-10,3.92,0,2.3,2.345581394,1.574418606,2.26
